,STATE
0,new york
1,california
2,illinois
3,florida
4,texas
5,pennsylvania
6,georgia
7,district of columbia
8,massachusetts
9,arizona
10,washington
11,michigan
12,minnesota
13,colorado
14,maryland
15,nevada
16,oregon
17,missouri
18,ohio
19,indiana
20,north carolina
21,virginia
22,wisconsin
23,rhode island
24,utah
25,tennessee
26,louisiana
27,kentucky
28,oklahoma
29,connecticut
30,nebraska
31,hawaii
32,new mexico
33,alabama
34,south carolina
35,kansas
36,iowa
37,arkansas
38,idaho
39,mississippi
40,puerto rico
41,new jersey
42,alaska
43,new hampshire
44,north dakota
45,maine
46,south dakota
47,west virginia
48,montana
49,delaware
50,vermont
51,wyoming
